	MMLTSSF1L	MMLTSSF1L
30/10/2024 04:47:00 p. m.	?T	?I
Time	°C	°C
30/10/2024  16:47:30.962	25.30	26.30
30/10/2024  16:47:31.084	25.30	26.30
30/10/2024  16:47:31.206	26.60	26.30
30/10/2024  16:47:31.327	26.60	26.30
30/10/2024  16:47:31.448	27.10	26.30
30/10/2024  16:47:31.569	27.10	26.30
30/10/2024  16:47:31.691	27.40	26.30
30/10/2024  16:47:31.811	27.40	26.30
30/10/2024  16:47:31.934	27.80	26.30
30/10/2024  16:47:32.056	27.80	26.30
30/10/2024  16:47:32.179	38.50	26.30
30/10/2024  16:47:32.301	38.50	26.30
30/10/2024  16:47:32.423	54.40	26.30
30/10/2024  16:47:32.544	54.40	26.30
30/10/2024  16:47:32.665	66.10	26.30
30/10/2024  16:47:32.788	66.10	26.30
30/10/2024  16:47:32.908	72.50	26.30
30/10/2024  16:47:33.032	72.50	26.30
30/10/2024  16:47:33.153	75.80	26.30
30/10/2024  16:47:33.274	75.80	26.30
30/10/2024  16:47:33.397	77.40	26.30
30/10/2024  16:47:33.518	77.40	26.30
30/10/2024  16:47:33.639	77.40	26.30
30/10/2024  16:47:33.761	77.40	26.30
30/10/2024  16:47:33.884	77.10	26.30
30/10/2024  16:47:34.005	77.10	26.30
30/10/2024  16:47:34.127	76.40	26.30
30/10/2024  16:47:34.250	76.40	26.30
30/10/2024  16:47:34.371	75.60	26.30
30/10/2024  16:47:34.492	75.60	26.30
30/10/2024  16:47:34.615	74.80	26.30
30/10/2024  16:47:34.736	74.80	26.30
30/10/2024  16:47:34.857	74.10	26.30
30/10/2024  16:47:34.979	74.10	26.30
30/10/2024  16:47:35.101	73.80	26.30
30/10/2024  16:47:35.223	73.80	26.30
30/10/2024  16:47:35.343	73.30	26.30
30/10/2024  16:47:35.465	73.30	26.30
30/10/2024  16:47:35.586	73.00	26.30
30/10/2024  16:47:35.707	73.00	26.30
30/10/2024  16:47:35.829	72.80	26.30
30/10/2024  16:47:35.950	72.80	26.30
30/10/2024  16:47:36.073	72.60	26.30
30/10/2024  16:47:36.195	72.60	26.30
30/10/2024  16:47:36.316	72.60	26.30
30/10/2024  16:47:36.438	72.60	26.30
30/10/2024  16:47:36.559	72.60	26.30
30/10/2024  16:47:36.682	72.60	26.30
30/10/2024  16:47:36.804	72.60	26.30
30/10/2024  16:47:36.925	72.60	26.30
30/10/2024  16:47:37.047	72.60	26.30
30/10/2024  16:47:37.168	72.60	26.30
30/10/2024  16:47:37.290	72.50	26.30
30/10/2024  16:47:37.413	72.50	26.30
30/10/2024  16:47:37.533	72.30	26.30
30/10/2024  16:47:37.655	72.30	26.30
30/10/2024  16:47:37.776	71.90	26.30
30/10/2024  16:47:37.899	71.90	26.30
30/10/2024  16:47:38.020	71.60	26.30
30/10/2024  16:47:38.142	71.60	26.30
30/10/2024  16:47:38.265	71.30	26.30
30/10/2024  16:47:38.386	71.30	26.30
30/10/2024  16:47:38.507	70.80	26.30
30/10/2024  16:47:38.628	70.80	26.30
30/10/2024  16:47:38.750	70.40	26.30
30/10/2024  16:47:38.872	70.40	26.30
30/10/2024  16:47:38.994	70.10	26.30
30/10/2024  16:47:39.116	70.10	26.30
30/10/2024  16:47:39.237	69.80	26.30
30/10/2024  16:47:39.359	69.80	26.30
30/10/2024  16:47:39.480	69.60	26.30
30/10/2024  16:47:39.602	69.60	26.30
30/10/2024  16:47:39.724	69.30	26.30
30/10/2024  16:47:39.846	69.30	26.30
30/10/2024  16:47:39.967	69.00	26.30
30/10/2024  16:47:40.089	69.00	26.30
30/10/2024  16:47:40.210	68.80	26.30
30/10/2024  16:47:40.332	68.80	26.30
30/10/2024  16:47:40.454	68.50	26.30
30/10/2024  16:47:40.575	68.50	26.30
30/10/2024  16:47:40.697	68.30	26.30
30/10/2024  16:47:40.818	68.30	26.30
30/10/2024  16:47:40.940	68.00	26.30
30/10/2024  16:47:41.061	68.00	26.30
30/10/2024  16:47:41.182	67.70	26.30
30/10/2024  16:47:41.303	67.70	26.30
30/10/2024  16:47:41.424	67.40	26.30
30/10/2024  16:47:41.545	67.40	26.30
30/10/2024  16:47:41.667	67.30	26.30
30/10/2024  16:47:41.789	67.30	26.30
30/10/2024  16:47:41.910	67.00	26.30
30/10/2024  16:47:42.032	67.00	26.30
30/10/2024  16:47:42.154	66.80	26.30
30/10/2024  16:47:42.275	66.80	26.30
30/10/2024  16:47:42.397	66.50	26.30
30/10/2024  16:47:42.519	66.50	26.30
30/10/2024  16:47:42.640	66.30	26.30
30/10/2024  16:47:42.762	66.30	26.30
30/10/2024  16:47:42.884	66.10	26.30
30/10/2024  16:47:43.007	66.10	26.30
30/10/2024  16:47:43.128	65.80	26.30
30/10/2024  16:47:43.249	65.80	26.30
30/10/2024  16:47:43.370	65.50	26.30
30/10/2024  16:47:43.493	65.50	26.30
30/10/2024  16:47:43.615	65.30	26.30
30/10/2024  16:47:43.736	65.30	26.30
30/10/2024  16:47:43.858	65.20	26.30
30/10/2024  16:47:43.980	65.20	26.30
30/10/2024  16:47:44.101	65.00	26.30
30/10/2024  16:47:44.223	65.00	26.30
30/10/2024  16:47:44.345	64.80	26.30
30/10/2024  16:47:44.468	64.80	26.30
30/10/2024  16:47:44.589	64.60	26.30
30/10/2024  16:47:44.711	64.60	26.30
30/10/2024  16:47:44.833	64.40	26.30
30/10/2024  16:47:44.956	64.40	26.30
30/10/2024  16:47:45.078	64.30	26.30
30/10/2024  16:47:45.200	64.30	26.30
30/10/2024  16:47:45.321	64.20	26.30
30/10/2024  16:47:45.442	64.20	26.30
30/10/2024  16:47:45.563	64.10	26.30
30/10/2024  16:47:45.684	64.10	26.30
30/10/2024  16:47:45.806	64.00	26.30
30/10/2024  16:47:45.927	64.00	26.30
30/10/2024  16:47:46.049	63.90	26.30
30/10/2024  16:47:46.171	63.90	26.30
30/10/2024  16:47:46.292	63.80	26.30
30/10/2024  16:47:46.414	63.80	26.30
30/10/2024  16:47:46.536	63.70	26.30
30/10/2024  16:47:46.659	63.70	26.30
30/10/2024  16:47:46.780	63.60	26.30
30/10/2024  16:47:46.901	63.60	26.30
30/10/2024  16:47:47.023	63.30	26.30
30/10/2024  16:47:47.145	63.30	26.30
30/10/2024  16:47:47.266	63.20	26.30
30/10/2024  16:47:47.388	63.20	26.30
30/10/2024  16:47:47.509	63.10	26.30
30/10/2024  16:47:47.632	63.10	26.30
30/10/2024  16:47:47.754	62.90	26.30
30/10/2024  16:47:47.876	62.90	26.30
30/10/2024  16:47:47.998	62.80	26.30
30/10/2024  16:47:48.120	62.80	26.30
30/10/2024  16:47:48.241	62.70	26.30
30/10/2024  16:47:48.363	62.70	26.30
30/10/2024  16:47:48.485	62.60	26.30
30/10/2024  16:47:48.606	62.60	26.30
30/10/2024  16:47:48.726	62.60	26.30
30/10/2024  16:47:48.848	62.60	26.30
30/10/2024  16:47:48.969	62.40	26.30
30/10/2024  16:47:49.092	62.40	26.30
30/10/2024  16:47:49.213	62.10	26.30
30/10/2024  16:47:49.334	62.10	26.30
30/10/2024  16:47:49.456	61.80	26.30
30/10/2024  16:47:49.577	61.80	26.30
30/10/2024  16:47:49.698	61.60	26.30
30/10/2024  16:47:49.820	61.60	26.30
30/10/2024  16:47:49.941	61.40	26.30
30/10/2024  16:47:50.179	61.40	26.30
30/10/2024  16:47:50.302	61.30	26.30
30/10/2024  16:47:50.424	61.30	26.30
30/10/2024  16:47:50.547	61.40	26.30
30/10/2024  16:47:50.669	61.40	26.30
30/10/2024  16:47:50.790	61.40	26.30
30/10/2024  16:47:50.913	61.40	26.30
30/10/2024  16:47:51.034	61.40	26.30
30/10/2024  16:47:51.157	61.40	26.30
30/10/2024  16:47:51.279	61.30	26.30
30/10/2024  16:47:51.401	61.30	26.30
30/10/2024  16:47:51.523	61.30	26.30
30/10/2024  16:47:51.645	61.30	26.30
30/10/2024  16:47:51.768	61.30	26.30
30/10/2024  16:47:51.890	61.30	26.30
30/10/2024  16:47:52.011	61.30	26.30
30/10/2024  16:47:52.134	61.30	26.30
30/10/2024  16:47:52.255	61.30	26.30
30/10/2024  16:47:52.377	61.30	26.30
30/10/2024  16:47:52.498	61.30	26.30
30/10/2024  16:47:52.621	61.30	26.30
30/10/2024  16:47:52.744	61.20	26.30
30/10/2024  16:47:52.866	61.20	26.30
30/10/2024  16:47:52.988	61.10	26.30
30/10/2024  16:47:53.109	61.10	26.30
30/10/2024  16:47:53.232	61.10	26.30
30/10/2024  16:47:53.354	61.10	26.30
30/10/2024  16:47:53.475	61.10	26.30
30/10/2024  16:47:53.597	61.10	26.30
30/10/2024  16:47:53.719	61.10	26.30
30/10/2024  16:47:53.840	61.10	26.30
